GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR → SupCon)
  - First half: SimCLR (all classes, no label leakage)
  - Second half: SupCon (base classes only, discriminative)
  - yamnet last layers unfrozen for acoustic scene adaptation
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training
======================================================================
Samples:         30000
Epochs:          200
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
Mode:            SimCLR (ep 1-100) → SupCon (ep 101-200)
Base classes:    [0, 1, 2, 3, 4, 5]
======================================================================

    Class 5: 1800 samples
    Class 6: 1800 samples
    Class 7: 1800 samples
    Class 8: 1800 samples
    Class 9: 1800 samples

Computing t-SNE on 5000 samples...
t-SNE plot saved: experiment/yamnet_fewshot_osr17/tsne_features.png

======================================================================
Phase 2: Episodic Meta-Training
======================================================================
OOD exposure: 4 unknown classes, 7200 total samples
Real OOD exposure: 7200 samples from classes [6, 7, 8, 9]
Initializing GMM Boundary Sampler...
  GMM Boundary Sampler: fitting GMM(6) on 30000 samples, dim=64
  GMM train log-likelihood: mean=108.90, 10th percentile=70.56
/usr/local/miniconda3/envs/py312/lib/python3.12/site-packages/sklearn/mixture/_base.py:468: RuntimeWarning: covariance is not symmetric positive-semidefinite.
  rng.multivariate_normal(mean, covariance, int(sample))
  GMM boundary pool: 5000 samples, dim=64, device=cuda
Flow classifier params: 1,047,460

Checkpoint not found at experiment/yamnet_fewshot_osr17/fewshot_best.pth, starting from scratch

======================================================================
Episodic Meta-Training: 5-way 5-shot
Base classes:     [0, 1, 2, 3, 4, 5]
Unknown classes:  [6, 7, 8, 9]
Episodes:         10000
Accum steps:      1 (eff.batch=1x)
Eval every:       150 episodes
Proto noise std:  0.15
OOD ratio:          0.3
LR warmup:        200 episodes
Stage2 (cls):     400 episodes
Stage3 (struct):  800 episodes
Gaussian prior:   starts from ep 1 (co-trained with CE)
Patience:         2000 episodes (13 evals)
Training mode:    Single-stage joint (classification + OOD together)
======================================================================

Ep   150/10000 | CE: 2.6166 Total: 2.6263 Acc: 54.76% | Val Loss: 2.0959 Acc: 53.98% | LR: 3.75e-05 cls:0.0 gau:0.5 str:0.0 | z_norm²: 14.2(≈32) z_std: 0.384(≈1.0)
  -> Best model saved (Val Acc: 53.98%)
Ep   300/10000 | CE: 2.0652 Total: 2.3790 Acc: 50.96% | Val Loss: 1.9407 Acc: 49.38% | LR: 5.00e-05 cls:0.2 gau:0.6 str:0.0 | z_norm²: 44.2(≈32) z_std: 0.544(≈1.0)
Ep   450/10000 | CE: 1.9242 Total: 2.3889 Acc: 48.41% | Val Loss: 1.9168 Acc: 50.73% | LR: 4.98e-05 cls:0.5 gau:0.8 str:0.0 | z_norm²: 55.5(≈32) z_std: 0.605(≈1.0)
Ep   600/10000 | CE: 1.9160 Total: 2.3881 Acc: 48.63% | Val Loss: 1.7292 Acc: 48.82% | LR: 4.95e-05 cls:0.8 gau:1.0 str:0.0 | z_norm²: 51.4(≈32) z_std: 0.594(≈1.0)
Ep   750/10000 | CE: 1.9223 Total: 2.3843 Acc: 48.75% | Val Loss: 1.9451 Acc: 49.64% | LR: 4.90e-05 cls:1.0 gau:1.0 str:0.2 | z_norm²: 41.1(≈32) z_std: 0.574(≈1.0)
Ep   900/10000 | CE: 1.9104 Total: 2.3304 Acc: 48.27% | Val Loss: 1.8631 Acc: 49.62% | LR: 4.83e-05 cls:1.0 gau:1.0 str:0.4 | z_norm²: 43.1(≈32) z_std: 0.620(≈1.0)
Ep  1050/10000 | CE: 1.8574 Total: 2.2355 Acc: 48.64% | Val Loss: 1.8266 Acc: 47.76% | LR: 4.76e-05 cls:1.0 gau:1.0 str:0.6 | z_norm²: 37.6(≈32) z_std: 0.608(≈1.0)
Ep  1200/10000 | CE: 1.8483 Total: 2.1902 Acc: 47.36% | Val Loss: 1.8785 Acc: 51.11% | LR: 4.67e-05 cls:1.0 gau:1.0 str:0.8 | z_norm²: 43.0(≈32) z_std: 0.667(≈1.0)
Ep  1350/10000 | CE: 1.8230 Total: 2.1141 Acc: 48.33% | Val Loss: 1.8380 Acc: 47.73% | LR: 4.56e-05 cls:1.0 gau:1.0 str:0.9 | z_norm²: 37.3(≈32) z_std: 0.674(≈1.0)
